6,1,21.3
6,2,21.1
6,3,19.7
6,4,21.1
6,5,20.8
6,6,18.5
6,7,20.3
6,8,21.9
6,9,18.8
6,10,21.2
6,11,19.4
6,12,16.4
6,13,17.1
6,14,18.2
6,15,19.8
6,16,19.7
6,17,22
6,18,23.8
6,19,23.3
6,20,24.4
6,21,21.9
6,22,20.2
6,23,21.4
6,24,22
6,25,17.9
6,26,18.7
6,27,19.9
6,28,21.8
6,29,22.7
6,30,22.5
7,1,21.1
7,2,22
7,3,22.7
7,4,23.7
7,5,24.7
7,6,24.6
7,7,22.7
7,8,22
7,9,23.9
7,10,25
7,11,24.8
7,12,24.3
7,13,24.8
7,14,25.7
7,15,26.2
7,16,26.5
7,17,27
7,18,27
7,19,26.8
7,20,19.9
7,21,19.1
7,22,20.5
7,23,24.4
7,24,26
7,25,26.8
7,26,27.9
7,27,27.8
7,28,27.7
7,29,28
7,30,27.9
7,31,28.7
